# redshift                Ha6563rest              OII3726rest             OII3729rest             OIII4959rest            OIII5007rest            
  8.234338121401925e-01   7.331900076253350e+39   3.224217774804050e+38   4.786193214732222e+38   2.320837090244231e+39   6.992208912382950e+39   
  9.535253580757685e-01   4.310008475192249e+40   1.701600798531839e+39   2.524189700830559e+39   1.565311001359687e+40   4.713768671278936e+40   
  9.542670978805687e-01   5.779636377641753e+40   2.756108271695582e+39   4.088943100914044e+39   2.426253977832053e+40   7.307041308863548e+40   
  9.064769355313995e-01   1.242284647818669e+41   5.824206761589733e+39   8.644219035069464e+39   4.522697215550057e+40   1.362287122356983e+41   
  8.891274053091909e-01   1.540828796940031e+40   7.531897669141503e+38   1.117460195141611e+39   6.568319956362934e+39   1.978204279641532e+40   
  8.884511943197630e-01   2.436426460402030e+38   1.109143617498853e+37   1.647621775965635e+37   1.171380257833539e+38   3.529242818714206e+38   
  8.949173550910239e-01   4.748716136878104e+41   1.176032139528509e+40   1.485134448058186e+40   2.154872195415499e+41   6.483410054724325e+41   
  8.909605595078325e-01   2.855410499433728e+41   1.339404657070020e+40   1.987886707592890e+40   1.045377705572893e+41   3.148851973636171e+41   
  8.888087927789692e-01   2.724330655702383e+42   9.242026972003619e+40   1.313935851683242e+41   1.067253900717223e+42   3.211088410449985e+42   
  8.931613784548755e-01   5.982124381176544e+41   1.753281688740692e+40   2.600917374050210e+40   8.232575582336269e+40   2.478978438090590e+41   
  8.908776301637318e-01   1.047671135600917e+40   4.899507911961869e+38   7.271634153593958e+38   3.819694883402724e+39   1.150556725559555e+40   
  8.907545418474543e-01   1.516278805230065e+37   2.363220509978692e+35   3.504231922956179e+35   4.665322548485558e+36   1.405281518819948e+37   
  8.923526101010424e-01   2.292817860439076e+38   1.317830957858633e+37   1.959808715719317e+37   1.107066008515616e+38   3.335596552829228e+38   
  8.877165633900848e-01   1.841342034958495e+40   7.872453783083360e+38   1.168447960573421e+39   5.625467933511776e+39   1.694930061618021e+40   
  8.931047632944438e-01   2.969183868685270e+40   1.403243678501316e+39   2.082573514290697e+39   1.107805369461116e+40   3.336801951692667e+40   
  8.912383050639836e-01   8.885338251513983e+40   3.756949429885667e+39   5.577218091207804e+39   2.585162671637383e+40   7.789036663480074e+40   
  8.893931234696917e-01   1.254256130378637e+41   5.436851191846152e+39   8.071016074694114e+39   3.855905132104293e+40   1.161760733375127e+41   
  8.921506708090032e-01   1.128439382982381e+41   5.217311433741438e+39   7.743729338518898e+39   3.984123146896355e+40   1.200171224395796e+41   
  8.966528560293587e-01   4.470645565195257e+36   1.036025011468867e+35   1.539466490842410e+35   6.506841683926882e+35   1.960515319209703e+36   
  9.013993066643227e-01   7.470381237403003e+39   3.475982703915181e+38   5.158982154076173e+38   2.692813150432969e+39   8.111261431365005e+39   
  8.943869698015308e-01   2.329427599020167e+37   8.019578350037125e+35   1.190144161834151e+36   1.214836088200000e+37   3.660308452145294e+37   
  8.954105864410429e-01   9.010169475854064e+39   1.331531123232232e+38   1.981949285346492e+38   4.355692994166717e+38   1.311847659364202e+39   
  8.958581246800892e-01   3.663703798336409e+39   1.530502895429536e+38   2.270506219473597e+38   1.409092333625494e+39   4.243350083300122e+39   
  8.976680863972517e-01   6.526075935453191e+39   1.793868865725674e+38   2.665773034005189e+38   7.732097888150689e+38   2.327937060921783e+39   
  8.990192745813663e-01   5.779133476853066e+38   1.077400916457770e+37   1.598547538498996e+37   1.194617821834837e+38   3.597276426222699e+38   
  8.940944768125600e-01   1.819962090833297e+41   7.827415397639310e+39   1.162078542979500e+40   5.407881710665496e+40   1.629316019179046e+41   
  8.943015151487661e-01   2.666332720202089e+40   1.255455289091316e+39   1.863048232219146e+39   1.017266666630935e+40   3.064068057162688e+40   
  9.002123751418978e-01   5.785762479159141e+40   2.480757397628928e+39   3.682797725231507e+39   1.740115552350776e+40   5.242738956307694e+40   
  9.004747888074307e-01   1.404841256502732e+40   5.937479102167047e+38   8.808026347150536e+38   5.373514476807179e+39   1.618228493244330e+40   
  8.944691321339358e-01   2.166817027563443e+40   9.970138187525885e+38   1.479837627765348e+39   7.559015099191928e+39   2.277030037530651e+40   
  8.980098150438116e-01   1.137699433680746e+41   4.441111859744500e+39   6.593214248100213e+39   2.703204276032435e+40   8.144117906842057e+40   
  8.935496799978484e-01   1.962225200256896e+37   5.369484009878434e+35   7.960359841107168e+35   7.990291284099896e+36   2.407478136877812e+37   
  8.969465645349219e-01   5.143086102962606e+38   2.111657892637343e+37   3.137870017084486e+37   2.312639762085822e+38   6.965683013037366e+38   
  8.990694084083475e-01   7.939101129731846e+40   3.675631533432881e+39   5.455682948677962e+39   2.781061886592248e+40   8.377190034197931e+40   
  8.949332205762606e-01   1.101670618349805e+38   6.445062017290347e+35   9.557797965384548e+35   9.936023313388801e+36   2.993381625946285e+37   
  8.993993068449231e-01   8.712644068062471e+39   4.200524115729618e+38   6.232813153835915e+38   3.605039107410338e+39   1.085710676710075e+40   
  9.026738014466655e-01   1.135234550905312e+40   4.720198897274425e+38   7.002268145631648e+38   4.314254426871343e+39   1.299201309601831e+40   
  8.995711736161254e-01   1.957311174600769e+40   8.080924682133374e+38   1.198802905629864e+39   7.413409914940389e+39   2.232450087337811e+40   
  9.613794853153015e-01   8.298801280641379e+39   3.889796924753099e+38   5.771920019688915e+38   3.179011525291901e+39   9.576215604980290e+39   
  9.675195298768131e-01   1.577704556530985e+40   7.341856894387436e+38   1.089173092153383e+39   6.651146366939674e+39   2.002996657495250e+40   
  9.692384424921310e-01   2.152204145403727e+37   4.940662295444887e+35   7.324958854585197e+35   1.005909899332899e+37   3.030631675278518e+37   
  9.808255731444921e-01   1.345841673974128e+40   5.791810428233419e+38   8.598181686160799e+38   4.082883691337759e+39   1.230082015765272e+40   
  9.650001895447440e-01   1.134253275028250e+40   5.463103384939232e+38   8.106653702567869e+38   4.717255712103274e+39   1.420601748325262e+40   
  9.677682612825256e-01   1.264112564828690e+40   6.075513931842672e+38   9.015788108511614e+38   5.026038418236116e+39   1.513738441124224e+40   
  9.678227366342660e-01   7.170594131124676e+40   3.355460558922002e+39   4.980073901020364e+39   2.614504432690961e+40   7.875154910682249e+40   
  9.937750917824149e-01   2.111629184249180e+40   9.262722000994812e+38   1.374119706992532e+39   8.295221864950569e+39   2.498102277062882e+40   
  1.000323795925512e+00   1.730133753536071e+37   3.789519379427950e+35   5.618408343934308e+35   7.243525568768610e+36   2.182276445393982e+37   
  8.171372973399931e-01   6.026572730016230e+40   1.929973371296683e+39   2.863756477579380e+39   9.648463866935224e+39   2.905780346148599e+40   
  8.189914060298567e-01   1.103525009201664e+40   5.261575378230067e+38   7.808392588834236e+38   4.448968466454451e+39   1.339812599127951e+40   
  8.145756774661210e-01   3.595315620345347e+37   2.377402093464750e+36   3.531293612852926e+36   1.545711693814954e+37   4.652696901921522e+37   
  8.189678540248784e-01   6.715918196703449e+40   2.965005773430995e+39   4.398547923118278e+39   2.653080358820764e+40   7.989914060658865e+40   
  8.162588466060285e-01   5.473413496569150e+41   1.654744865985649e+40   2.455017202600878e+40   7.923811966527605e+40   2.386147034609641e+41   
  8.375279609794009e-01   2.119740961194719e+41   9.172431341309402e+39   1.361649741095651e+40   6.500776708394458e+40   1.958611993044229e+41   
  8.232348257024074e-01   1.236473862633398e+37   3.551958723191988e+35   5.271446757594680e+35   5.591439025466253e+36   1.683841945295214e+37   
  8.248853982258244e-01   1.190504506137738e+39   3.532766759769875e+37   5.244566727435875e+37   4.690896533966387e+38   1.413017471048215e+39   
  8.249819812083421e-01   1.604189138283783e+39   6.427750031628568e+37   9.537408575135547e+37   6.320267409226380e+38   1.903290182524761e+39   
  8.240496867083138e-01   5.422024800966132e+40   2.649922290273583e+39   3.932022477057349e+39   2.238731995778854e+40   6.742557886399324e+40   
  8.242750712451323e-01   5.856304113964031e+41   2.313612332858309e+40   3.434804928425030e+40   1.430337222225044e+41   4.309340258667644e+41   
  8.300392426152245e-01   1.887725605132734e+41   5.436254508166237e+39   8.064239994728454e+39   2.511677339453430e+40   7.562996924220709e+40   
  8.277772555548535e-01   1.747761535251463e+40   8.418606104654594e+38   1.249269557034686e+39   6.923673201032069e+39   2.085316912457158e+40   
  8.295470292992857e-01   8.149094818573765e+39   3.883492614175043e+38   5.762365320426394e+38   3.472500298901083e+39   1.045738420311213e+40   
  8.276012678766673e-01   6.503929445248892e+37   1.164056495008397e+35   1.672282765060900e+35   2.967537188460211e+36   8.940742882468490e+36   
  8.294798234442071e-01   3.154973274688284e+38   4.066260468495381e+36   6.028505227606884e+36   6.262160993857451e+37   1.886792879891581e+38   
  8.314264714708841e-01   3.001625188642227e+40   1.377789395527773e+39   2.043915447690667e+39   1.231729975613409e+40   3.709584179557200e+40   
  8.303197355356546e-01   8.556590295329245e+40   4.187861060816801e+39   6.213635516860259e+39   3.590698880903984e+40   1.081462335439135e+41   
  8.270982320103948e-01   5.421878629661957e+41   1.311916831674364e+40   1.946613952351620e+40   4.988606731848227e+40   1.501641951041483e+41   
  8.223996988902962e-01   1.826899925800714e+40   8.610223325818893e+38   1.277865705132586e+39   6.777604741765445e+39   2.041453641170144e+40   
  8.279869031130380e-01   3.549422124351028e+40   1.418988833913210e+39   2.104958229020199e+39   1.299529459624206e+40   3.913419428756666e+40   
  8.242193194041878e-01   2.349908730542853e+40   1.117147414127351e+39   1.657947779039113e+39   9.065726378335025e+39   2.730394634453265e+40   
  8.175381587232364e-01   2.954548499994201e+40   1.399913989115001e+39   2.077595513733605e+39   1.110862587669601e+40   3.346039319762362e+40   
  8.216815591417217e-01   7.388349074101977e+39   3.589075736452647e+38   5.325518303461467e+38   3.042936405550894e+39   9.164564329751941e+39   
  8.218764412335058e-01   1.755434404659681e+40   7.878679889372041e+38   1.168889323354294e+39   7.237102467657368e+39   2.179421729412490e+40   
  8.200578306301722e-01   2.395361924865048e+40   1.050159739811150e+39   1.558919301518846e+39   7.540577772610007e+39   2.271753319129381e+40   
  8.182971043368099e-01   3.125710781154416e+40   1.406933896176037e+39   2.087243884079054e+39   1.249192908721523e+40   3.762031934781713e+40   
  8.239820593218332e-01   1.519481195936534e+41   7.327153112615290e+39   1.087296963649380e+40   6.036234669251623e+40   1.818048210630786e+41   
  8.284445389914463e-01   8.128968308966580e+39   3.802725543253798e+38   5.643720343458092e+38   2.980924101123879e+39   8.979037293254677e+39   
  8.316349837361081e-01   1.448036859183269e+37   3.126967467123858e+35   4.636118725189251e+35   5.984194374409531e+36   1.802863001408991e+37   
  8.277433331477506e-01   5.770354322823575e+37   6.561748616016728e+35   9.730457526751371e+35   1.024095907429654e+37   3.085600003769909e+37   
  8.272959765524857e-01   1.295407439209216e+38   3.968256497554235e+36   5.892060896002706e+36   5.411177981407227e+37   1.630178542253244e+38   
  8.270395131244888e-01   5.037008352477046e+39   2.300513726237032e+38   3.419847518834668e+38   2.115920703784451e+39   6.372395248488086e+39   
  8.263286401239278e-01   2.594887933704257e+42   5.698394641423902e+40   8.455123416572844e+40   2.073191881981130e+41   6.240302484587178e+41   
  8.261628561200156e-01   1.976768784905177e+40   9.051863527351320e+38   1.343555066251115e+39   8.443872239113825e+39   2.542696215930812e+40   
  8.297076335366902e-01   3.049784646135513e+40   1.458147850503884e+39   2.163327191527673e+39   1.279353840432167e+40   3.852994941806774e+40   
  9.788133947418254e-01   5.416445356845606e+37   2.107688864001087e+36   3.129038135753118e+36   2.805069836884696e+37   8.451692316796359e+37   
