# z      ,        O[II] EW
     0.932046,      65.7280
      1.05760,      48.9395
     0.910953,      167.903
     0.809807,      75.3511
      1.30872,      27.7597
      1.31016,      15.3312
     0.987561,      30.0927
      1.33589,      80.4124
     0.930218,      27.9107
      1.31635,      43.2250
     0.810135,      93.7362
      1.12558,      66.4949
     0.932665,      73.8540
      1.26075,      55.8217
      1.26089,      55.8217
     0.809817,      25.9894
      1.09642,      64.0720
     0.855525,      72.2577
     0.855505,      72.2577
     0.919904,      49.7165
     0.945628,      49.6668
      1.17591,      43.8673
     0.783506,      86.3669
     0.778802,      24.6489
     0.828559,      34.6367
     0.775618,      37.4983
      1.22383,      58.8135
     0.775015,      9.15221
      1.15105,      73.7850
     0.947598,      73.0842
     0.941938,      67.2987
     0.913441,      35.1520
     0.809907,      35.0572
      1.20148,      63.3763
     0.812976,      34.5133
     0.987881,      50.9486
      1.19983,      53.0208
     0.809108,      66.2949
      1.30667,      35.3843
      1.30898,      88.5687
     0.916835,      33.6155
     0.830995,      59.6417
     0.809331,      42.1017
     0.785033,      72.3429
     0.821853,      8.89861
     0.745609,      120.586
      1.04838,      37.7710
     0.985180,      23.8168
      1.32188,      91.5966
     0.828144,      10.0282
      1.35165,      53.2474
     0.783377,      51.5341
      1.09303,      33.8347
      1.31959,      63.9958
     0.919138,      8.17966
      1.46799,      82.5987
      1.36263,      40.5866
     0.918330,      14.9610
     0.919033,      23.3221
     0.948321,      79.3607
     0.984370,      42.1199
     0.930638,      56.8982
     0.925309,      86.2167
     0.988199,      46.7665
     0.774005,      33.1811
      1.05510,      25.8357
     0.796756,      38.9992
     0.931800,      52.8702
     0.853372,      34.2339
     0.775519,      52.1876
      1.30905,      49.9309
     0.853202,      63.4602
     0.853262,      31.1226
     0.856069,      9.86998
     0.775424,      43.7678
      1.22307,      106.069
     0.799836,      35.5942
     0.801557,      46.6112
     0.773605,      12.7323
      1.00806,      30.4410
      1.19453,      46.3112
     0.919181,      9.40267
      1.08616,      104.034
     0.991550,      36.3959
     0.909260,      38.6080
     0.910336,      26.8895
     0.811159,      38.4636
     0.903218,      32.3452
     0.927383,      32.7129
      1.03707,      35.4151
     0.927763,      18.7044
     0.804991,      37.5994
     0.804506,      42.3719
      1.29542,      55.5718
     0.941361,      61.3847
     0.989891,      44.5797
     0.989839,      44.5797
      1.11873,      54.9931
     0.782415,      57.3919
     0.986674,      75.8032
     0.850504,      35.0030
     0.890527,      30.5544
      1.17518,      44.8616
     0.829235,      43.8220
      1.29084,      84.0650
      1.05468,      30.0676
     0.913533,      9.01015
     0.805190,      19.0841
     0.805241,      19.0841
      1.09414,      24.9536
     0.781585,      16.7321
     0.781634,      16.7321
     0.856724,      49.5585
      1.17463,      52.3008
     0.927670,      58.3092
     0.889440,      63.2771
     0.988493,      53.6328
     0.988732,      23.1465
     0.929182,      48.7341
     0.780149,      28.0432
     0.799201,      42.7726
     0.799127,      42.7726
      1.30713,      31.9981
     0.991829,      66.9567
     0.809308,      46.3567
     0.987330,      57.1140
      1.04923,      43.4940
     0.870772,      42.5379
     0.917496,      42.5200
     0.809283,      51.4996
     0.809217,      51.4996
     0.917920,      51.8584
     0.890175,      19.2205
      1.15595,      38.2071
     0.830699,      19.1420
     0.830601,      19.1420
     0.987004,      33.5129
      1.16987,      49.6569
     0.964214,      70.1592
      1.01138,      45.4837
     0.989048,      7.49513
     0.828881,      46.5078
     0.912965,      60.9563
      1.15711,      28.0620
      1.10967,      44.3819
     0.922376,      35.3578
     0.987195,      57.0088
     0.852670,      63.5916
      1.10550,      50.6646
     0.774533,      34.7826
     0.802257,      72.5592
     0.930625,      51.3998
     0.801739,      31.0648
     0.801911,      31.0648
     0.736989,      7.16584
      1.20425,      22.4634
     0.884559,      50.4080
      1.16832,      14.5980
      1.17708,      23.6662
     0.833464,      26.6361
     0.833407,      26.8009
      1.20493,      38.3883
     0.855525,      57.5799
     0.847991,      49.0403
      1.00344,      57.3979
      1.17206,      59.7140
     0.743167,      97.9896
     0.918875,      46.4720
     0.918376,      46.4720
     0.920381,      85.9636
      1.27839,      58.8872
      1.08866,      142.403
     0.988436,      59.2546
      1.12120,      90.8559
      1.11298,      47.9019
      1.22003,      46.2409
     0.918068,      18.3647
     0.918456,      18.3647
     0.935838,      122.878
      1.32719,      47.7913
      1.03635,      42.9464
      1.23140,      61.4812
      1.23151,      61.4812
      1.06334,      27.7631
     0.919800,      27.8960
     0.919781,      88.6393
      1.26075,      42.7578
      1.26073,      42.7578
     0.753029,      9.80787
      1.10743,      58.2204
     0.737707,      43.0819
     0.999923,      44.8557
     0.894415,      54.0476
      1.06467,      90.2636
      1.23465,      58.6868
     0.888663,      18.6130
      1.07325,      95.9701
      1.07324,      95.9701
      1.17431,      39.5778
      1.29564,      10.8049
      1.29579,      20.7710
      1.23402,      44.1417
      1.23422,      44.9047
      1.23415,      44.9047
     0.744336,      64.1773
      1.29103,      105.847
      1.28955,      99.6757
      1.20021,      34.3760
     0.826082,      36.2463
     0.874646,      24.7693
      1.17573,      8.81045
      1.17622,      8.81045
      1.15859,      64.7155
     0.807746,      27.1473
      1.14845,      87.1481
     0.966293,      30.0247
     0.775390,      31.4534
      1.14933,      42.6490
      1.11196,      42.5028
      1.17686,      54.3718
      1.16024,      44.3269
      1.05754,      23.9197
     0.805422,      12.4024
     0.854097,      63.6582
     0.771720,      6.28995
      1.26217,      18.8022
     0.833238,      25.6460
      1.20520,      70.5119
     0.805694,      115.477
     0.807217,      19.6885
     0.831391,      59.0934
     0.808653,      76.3686
      1.11294,      60.9104
      1.02491,      72.1173
      1.28877,      29.4834
      1.19680,      21.1721
     0.862527,      56.4458
     0.768448,      48.3573
     0.796416,      45.2738
     0.796545,      45.2738
     0.990903,      45.4091
     0.987803,      28.2772
     0.863767,      111.830
      1.36756,      38.3817
      1.11328,      40.2211
      1.28905,      33.9109
      1.10774,      94.7254
     0.938344,      50.8781
      1.00270,      50.8350
      1.00270,      50.8350
     0.810355,      44.8511
      1.28753,      60.4879
     0.847379,      49.7956
      1.28617,      25.2682
     0.986438,      14.0854
      1.16661,      42.1192
      1.12079,      61.9721
      1.00260,      33.2722
      1.00183,      18.0683
      1.15714,      56.0537
      1.15732,      56.0537
     0.807538,      172.551
     0.807448,      172.551
      1.11365,      99.5412
      1.11350,      99.5412
      1.10918,      35.9116
      1.16575,      20.0989
     0.806574,      13.9045
     0.849873,      35.6613
     0.850163,      21.3419
     0.958595,      25.9360
     0.918988,      76.4891
      1.11995,      49.3722
      1.20169,      96.7915
     0.761249,      40.6317
     0.761218,      40.6317
     0.796748,      44.7408
     0.803470,      47.5320
      1.04302,      25.2636
      1.08994,      41.0080
     0.891840,      31.4835
      1.16660,      17.0601
     0.872823,      48.6350
      1.12425,      27.1369
     0.993363,      28.6756
     0.778289,      44.4985
      1.11354,      99.4298
      1.04429,      47.6035
     0.801728,      35.7054
     0.959557,      8.74918
      1.29163,      28.9612
      1.12580,      33.8641
      1.08517,      39.9218
      1.15460,      46.3391
      1.01322,      79.8682
      1.01343,      79.8682
     0.914522,      85.1053
     0.833213,      44.9251
      1.02529,      22.6202
      1.28588,      37.3389
      1.20437,      85.8385
     0.901522,      9.84659
     0.903572,      30.4628
     0.903635,      30.4628
      1.09574,      16.8673
     0.996525,      19.7574
     0.764182,      52.1390
     0.808065,      7.69680
     0.829014,      56.8120
      1.03016,      37.5849
      1.03396,      5.13928
      1.34759,      69.7507
      1.02908,      42.5040
      1.26027,      63.8683
     0.847230,      34.8115
     0.986168,      13.1139
     0.756976,      34.6919
     0.757481,      14.5709
     0.988246,      33.1026
     0.931013,      8.24904
      1.03039,      45.3145
      1.02833,      110.424
     0.765616,      47.2150
     0.877366,      48.5515
      1.06311,      47.9360
      1.25867,      42.4852
     0.856384,      67.0587
     0.868388,      69.1024
     0.809541,      39.0316
     0.922954,      31.5021
     0.939296,      63.0105
     0.860641,      23.4894
     0.904476,      47.9457
     0.989068,      69.9985
     0.989088,      69.9985
     0.922988,      36.9190
     0.810606,      15.2666
     0.903367,      45.0342
     0.867584,      14.2725
      1.25247,      133.726
     0.848075,      11.4257
     0.832431,      88.4050
      1.04018,      13.3697
      1.03974,      13.3697
      1.04861,      74.7781
      1.29333,      38.8548
      1.25869,      30.0007
      1.25949,      25.4914
      1.04164,      72.6725
     0.829783,      33.6739
     0.954520,      71.5387
      1.22193,      53.6006
      1.26051,      39.7566
      1.25036,      47.2347
     0.765295,      33.5572
      1.25984,      37.2659
      1.27791,      32.0699
     0.830819,      24.1389
     0.954352,      20.1112
      1.16392,      63.3350
      1.09373,      28.1893
      1.25144,      103.807
     0.906543,      80.4071
     0.906512,      80.4071
      1.12434,      65.7614
     0.802545,      20.9440
      1.25932,      92.1009
     0.801449,      66.9978
      1.16160,      46.3138
      1.32944,      41.6620
     0.802834,      35.6806
      1.25821,      39.8500
     0.928035,      76.1007
     0.823674,      80.2058
      1.05561,      29.0540
     0.987488,      62.5901
     0.748059,      40.6641
      1.27012,      23.4061
      1.07609,      49.5482
     0.821836,      10.0814
      1.22986,      26.4757
     0.848423,      14.8558
      1.07539,      42.6610
      1.36007,      78.2223
     0.816627,      20.1412
      1.02504,      31.4208
     0.823973,      17.6675
      1.12543,      44.7494
      1.10294,      46.7740
     0.812298,      20.1888
     0.789183,      39.8916
     0.814012,      45.9853
     0.813489,      70.4720
     0.809974,      12.6804
      1.02692,      42.8296
      1.22824,      33.4301
      1.22826,      33.4301
     0.809826,      58.0596
     0.941890,      29.1860
     0.810567,      21.1391
     0.812583,      60.9923
      1.05634,      44.6304
     0.933146,      56.9238
      1.02964,      43.0252
     0.788503,      55.4554
     0.811972,      69.9639
      1.25369,      52.4104
     0.847947,      34.8109
     0.812923,      33.8704
     0.807321,      33.1233
     0.814178,      70.3369
     0.766134,      74.5221
     0.811098,      29.9998
      1.19220,      51.3485
      1.04301,      89.8459
     0.986709,      39.1914
     0.986720,      39.1914
     0.988003,      31.6689
     0.819323,      44.1216
     0.813749,      59.6387
      1.24678,      50.9540
     0.833548,      43.0428
     0.940183,      82.5066
     0.778503,      62.5753
      1.25590,      18.0852
      1.02916,      100.430
      1.21872,      58.4580
     0.826536,      43.2340
     0.809544,      40.7681
     0.939930,      52.8300
     0.985750,      46.0955
     0.829232,      16.1938
     0.825417,      24.0100
      1.28339,      63.2229
      1.08212,      25.7540
     0.853505,      37.7716
     0.826426,      24.1131
      1.02875,      36.3017
      1.02839,      153.596
     0.850600,      41.1893
     0.824855,      44.9069
      1.25583,      50.9082
     0.809857,      15.8266
     0.760112,      35.8560
      1.02818,      28.6989
     0.864594,      38.3986
     0.739918,      83.6708
     0.811346,      31.2885
      1.03770,      124.692
     0.792589,      19.9950
     0.940077,      110.038
     0.832118,      18.1244
      1.02718,      32.4667
      1.02934,      47.2058
     0.866724,      49.2822
     0.756626,      14.2377
     0.939409,      23.1559
     0.760351,      36.4850
     0.830204,      51.6465
      1.36561,      80.8882
     0.879779,      64.1105
      1.14489,      91.6539
