# z    ,     O[III] EW / H beta EW
     0.651171,      2.93940
     0.810135,     -220.328
     0.687249,      3.37759
     0.683593,    -0.385110
     0.680041,      2.83173
     0.753325,      1.02090
     0.688488,     0.675817
     0.809817,      1.62619
     0.735303,      1.49638
     0.855525,     -618.247
     0.855505,     -618.247
     0.651056,      1.74547
     0.828888,     -830.047
     0.828559,     -620.654
     0.684371,      1.68028
     0.808800,     -1591.88
     0.812976,     -906.829
     0.682308,      1.89943
     0.752419,     -1089.87
     0.692582,     0.487580
     0.830995,     -364.776
     0.650863,      5.86160
     0.828287,     -2621.81
     0.809331,     -592.241
     0.821853,     -2118.48
     0.745609,      3.50433
     0.660181,      2.04608
     0.734791,     0.710984
     0.729015,      1.90350
     0.783377,     0.867404
     0.765875,      1.33888
     0.733491,     0.476154
     0.707317,     0.496283
     0.774005,      6.63484
     0.721895,      3.68354
     0.807569,      1.18744
     0.766292,      3.52489
     0.799836,      2.84132
     0.801557,     0.669628
     0.756966,      1.08415
     0.681211,     0.529575
     0.811661,     -971.072
     0.766787,     -1542.37
     0.751063,     -2341.79
     0.751044,     -2341.79
     0.782415,      1.33191
     0.752190,     -693.879
     0.850504,     -639.079
     0.829235,      1.00788
     0.805190,     -1066.83
     0.805241,     -1066.83
     0.856724,     -614.319
     0.707487,     0.761194
     0.799201,      1.37537
     0.799127,      1.37537
     0.809308,      3.08192
     0.809283,      2.44348
     0.809217,      2.44348
     0.650019,     0.750396
     0.830699,     0.211297
     0.830601,     0.211297
     0.735537,      1.06188
     0.828881,     -643.796
     0.682390,     0.938903
     0.708094,      3.64537
     0.852670,     -476.203
     0.774533,     0.975127
     0.801739,     0.605092
     0.801911,     0.605092
     0.736989,    0.0540649
     0.681244,     0.600044
     0.833464,     -1120.46
     0.764727,      1.24278
     0.673498,      1.15688
      1.24501,     -1361.13
     0.743167,      2.00390
     0.730187,      2.63995
     0.759327,     0.693559
     0.753029,    -0.417334
     0.737707,     0.711964
     0.681581,      3.25987
     0.856268,     -1231.75
     0.668784,     0.482152
     0.650109,      2.32952
     0.744336,      2.18672
     0.660900,      1.11214
     0.738044,     0.986827
     0.696357,     0.144724
     0.737733,     0.606696
     0.737267,      1.40257
     0.722633,      3.91425
     0.682357,    -0.187888
     0.680784,      2.20309
     0.807746,     0.916072
     0.708295,     0.791342
     0.739151,      5.05958
     0.652024,      1.13136
     0.721755,      1.18341
     0.805694,     -753.603
     0.831391,     -407.345
     0.808653,     -619.870
     0.811808,      1.69633
     0.684181,      1.78569
     0.682885,      2.50534
     0.934303,     0.345502
     0.751012,     -535.686
     0.746497,     -805.288
     0.739728,     0.920376
     0.739690,     0.920376
     0.739620,     0.920376
     0.754292,      1.09496
     0.806574,      1.25222
     0.849873,     -895.339
     0.751952,     -3365.15
     0.761249,      1.88543
