# z   ,    O[III] EW / O[II] EW
     0.932046,     -152.127
      1.05760,     -204.314
     0.910953,     -59.5522
     0.809807,     -132.699
      1.30872,     -360.199
      1.31016,     -652.198
     0.987561,     -332.274
      1.33589,     -124.346
     0.930218,     -358.250
      1.31635,     -231.325
     0.810135,     -106.672
      1.12558,     -150.373
     0.932665,     -135.389
      1.26075,     -179.124
      1.26089,     -179.124
     0.809817,     0.408055
      1.09642,     -156.059
     0.855525,     -138.380
     0.855505,     -138.380
     0.919904,     -201.121
     0.945628,     -201.322
      1.17591,     -227.937
     0.783506,      3.97110
     0.778802,     0.274326
     0.828559,     -288.682
     0.775618,    -0.105513
      1.22383,     -170.012
     0.775015,     0.122024
      1.15105,     -135.515
     0.947598,     -136.815
     0.941938,     -148.576
     0.913441,     -284.450
     0.809907,     -285.219
      1.20148,     -157.772
     0.812976,     -289.715
     0.987881,     -196.257
      1.19983,     -188.586
     0.809108,     -150.826
      1.30667,     -282.583
      1.30898,     -112.895
     0.916835,     -297.452
     0.830995,     -167.651
     0.809331,     -237.497
     0.785033,     0.867742
     0.821853,     -1123.66
     0.745609,      1.19168
      1.04838,     -264.727
     0.985180,     -419.830
      1.32188,     -109.163
     0.828144,     -997.093
      1.35165,     -187.784
     0.783377,     0.312328
      1.09303,     -295.525
      1.31959,     -156.245
     0.919138,     -1222.42
      1.46799,     -121.055
      1.36263,     -246.362
     0.918330,     -668.339
     0.919033,     -428.736
     0.948321,     -125.994
     0.984370,     -237.393
     0.930638,     -175.735
     0.925309,     -115.975
     0.988199,     -213.807
     0.774005,      1.38362
      1.05510,     -387.023
     0.796756,     0.515598
     0.931800,     -189.123
     0.853372,     -292.079
     0.775519,     -191.597
      1.30905,     -200.257
     0.853202,     -157.563
     0.853262,     -321.278
     0.856069,     -1013.07
     0.775424,     0.279689
      1.22307,     -94.2688
     0.799836,      1.05069
     0.801557,     0.300464
     0.773605,      1.42006
      1.00806,     -328.472
      1.19453,     -215.909
     0.919181,     -1063.42
      1.08616,     -96.1125
     0.991550,     -274.729
     0.909260,     -258.988
     0.910336,     -371.856
     0.811159,     -259.960
     0.903218,     -309.134
     0.927383,     -305.660
      1.03707,     -282.337
     0.927763,     -534.581
     0.804991,     0.595687
     0.804506,      1.45581
      1.29542,     -179.929
     0.941361,     -162.891
     0.989891,     -224.295
     0.989839,     -224.295
      1.11873,     -181.823
     0.782415,     0.275508
     0.986674,     -131.907
     0.850504,     -285.661
     0.890527,     -327.252
      1.17518,     -222.885
     0.829235,     0.394629
      1.29084,     -118.944
      1.05468,     -332.551
     0.913533,     -1109.75
     0.805190,     -523.943
     0.805241,     -523.943
      1.09414,     -400.704
     0.781585,     0.796141
     0.781634,     0.796141
     0.856724,     -201.761
      1.17463,     -191.183
     0.927670,     -171.482
     0.889440,     -158.019
     0.988493,     -186.435
     0.988732,     -431.988
     0.929182,     -205.175
     0.780149,     0.353921
     0.799201,     0.490662
     0.799127,     0.490662
      1.30713,     -312.488
     0.991829,     -149.335
     0.809308,     0.731088
     0.987330,     -175.071
      1.04923,     -229.894
     0.870772,     -235.061
     0.917496,     -235.160
     0.809283,     0.767534
     0.809217,     0.767534
     0.917920,     -192.814
     0.890175,     -520.227
      1.15595,     -261.706
     0.830699,     0.113632
     0.830601,     0.113632
     0.987004,     -298.363
      1.16987,     -201.362
     0.964214,     -142.519
      1.01138,     -219.837
     0.989048,     -1334.07
     0.828881,     -214.996
     0.912965,     -164.036
      1.15711,     -356.318
      1.10967,     -225.294
     0.922376,     -282.794
     0.987195,     -175.394
     0.852670,     -157.238
      1.10550,     -197.357
     0.774533,     0.317825
     0.802257,     -137.805
     0.930625,     -194.534
     0.801739,     0.290936
     0.801911,     0.290936
     0.736989,    0.0530833
      1.20425,     -445.125
     0.884559,     -198.361
      1.16832,     -684.959
      1.17708,     -422.501
     0.833464,     -375.393
     0.833407,     -373.085
      1.20493,     -260.470
     0.855525,     -173.654
     0.847991,     -203.893
      1.00344,     -174.205
      1.17206,     -167.448
     0.743167,     0.743921
     0.918875,     -215.162
     0.918376,     -215.162
     0.920381,     -116.317
      1.27839,     -169.799
      1.08866,     -70.2162
     0.988436,     -168.747
      1.12120,     -110.053
      1.11298,     -208.739
      1.22003,     -216.237
     0.918068,     -544.470
     0.918456,     -544.470
     0.935838,     -81.3737
      1.32719,     -209.222
      1.03635,     -232.825
      1.23140,     -162.635
      1.23151,     -162.635
      1.06334,     -360.155
     0.919800,     -358.438
     0.919781,     -112.805
      1.26075,     -233.852
      1.26073,     -233.852
     0.753029,    -0.284381
      1.10743,     -171.744
     0.737707,     0.256754
     0.999923,     -222.915
     0.894415,     -185.004
      1.06467,     -110.776
      1.23465,     -170.379
     0.888663,     -537.204
      1.07325,     -104.189
      1.07324,     -104.189
      1.17431,     -252.642
      1.29564,     -925.414
      1.29579,     -481.392
      1.23402,     -226.521
      1.23422,     -222.671
      1.23415,     -222.671
     0.744336,     0.625482
      1.29103,     -94.4665
      1.28955,     -100.315
      1.20021,     -290.872
     0.826082,     -275.863
     0.874646,     -403.685
      1.17573,     -1134.90
      1.17622,     -1134.90
      1.15859,     -154.507
     0.807746,     0.311114
      1.14845,     -114.736
     0.966293,     -333.026
     0.775390,     0.586131
      1.14933,     -234.449
      1.11196,     -235.255
      1.17686,     -183.901
      1.16024,     -225.574
      1.05754,     -418.024
     0.805422,     0.202431
     0.854097,     -157.073
     0.771720,      1.16396
      1.26217,     -531.798
     0.833238,     -389.886
      1.20520,     -141.806
     0.805694,     -86.5885
     0.807217,     -507.861
     0.831391,     -169.207
     0.808653,     -130.931
      1.11294,     -164.159
      1.02491,     -138.649
      1.28877,     -339.139
      1.19680,     -472.273
     0.862527,     -177.143
     0.768448,      6.52589
     0.796416,     0.105301
     0.796545,     0.105301
     0.990903,     -220.198
     0.987803,     -353.606
     0.863767,     -89.4126
      1.36756,     -260.515
      1.11328,     -248.601
      1.28905,     -294.861
      1.10774,     -105.558
     0.938344,     -196.529
      1.00270,     -196.695
      1.00270,     -196.695
     0.810355,     -222.937
      1.28753,     -165.306
     0.847379,     -200.801
      1.28617,     -395.714
     0.986438,     -709.882
      1.16661,     -237.398
      1.12079,     -161.347
      1.00260,     -300.521
      1.00183,     -553.399
      1.15714,     -178.383
      1.15732,     -178.383
     0.807538,     -57.9482
     0.807448,     -57.9482
      1.11365,     -100.451
      1.11350,     -100.451
      1.10918,     -278.434
      1.16575,     -497.491
     0.806574,     0.509181
     0.849873,     -280.388
     0.850163,     -468.514
     0.958595,     -385.526
     0.918988,     -130.725
      1.11995,     -202.523
      1.20169,     -103.304
     0.761249,     0.763850
     0.761218,     0.763850
     0.796748,     -223.487
     0.803470,     -210.364
      1.04302,     -395.787
      1.08994,     -243.831
     0.891840,     -317.595
      1.16660,     -586.103
     0.872823,     -205.593
      1.12425,     -368.465
     0.993363,     -348.694
     0.778289,     0.176024
      1.11354,     -100.563
      1.04429,     -210.047
     0.801728,     -280.041
     0.959557,     -1142.85
      1.29163,     -345.255
      1.12580,     -295.269
      1.08517,     -250.464
