#   id  f_u            e_u            f_g            e_g            f_r            e_r            f_i            e_i            f_z            e_z            f_y            e_y            z_spec
   000  3.480779e-66   1.096478e-30   8.867649e-66   3.630781e-31   2.137421e-65   3.019952e-31   2.798970e-65   5.754399e-31   4.923427e-65   1.202264e-30   5.000203e-65   3.981072e-30   -1.000
   001  9.594234e-68   1.096478e-30   7.870298e-67   3.630781e-31   3.339403e-66   3.019952e-31   6.791246e-66   5.754399e-31   1.039896e-65   1.202264e-30   1.522009e-65   3.981072e-30   -1.000
   002  4.250583e-68   1.096478e-30   3.923900e-67   3.630781e-31   1.836923e-66   3.019952e-31   3.985181e-66   5.754399e-31   6.300355e-66   1.202264e-30   9.561901e-66   3.981072e-30   -1.000
   003  2.628013e-68   1.096478e-30   2.625131e-67   3.630781e-31   1.323162e-66   3.019952e-31   2.977083e-66   5.754399e-31   4.781265e-66   1.202264e-30   7.331233e-66   3.981072e-30   -1.000
   004  1.900931e-68   1.096478e-30   2.004481e-67   3.630781e-31   1.056124e-66   3.019952e-31   2.424849e-66   5.754399e-31   3.928780e-66   1.202264e-30   6.064016e-66   3.981072e-30   -1.000
   005  1.489984e-68   1.096478e-30   1.634598e-67   3.630781e-31   8.878143e-67   3.019952e-31   2.066510e-66   5.754399e-31   3.368013e-66   1.202264e-30   5.222806e-66   3.981072e-30   -1.000
   006  1.177695e-68   1.096478e-30   1.357577e-67   3.630781e-31   7.645192e-67   3.019952e-31   1.807074e-66   5.754399e-31   2.964941e-66   1.202264e-30   4.620899e-66   3.981072e-30   -1.000
   007  9.511181e-69   1.096478e-30   1.149025e-67   3.630781e-31   6.678121e-67   3.019952e-31   1.599105e-66   5.754399e-31   2.638371e-66   1.202264e-30   4.127410e-66   3.981072e-30   -1.000
   008  7.788235e-69   1.096478e-30   9.874423e-68   3.630781e-31   5.902153e-67   3.019952e-31   1.429888e-66   5.754399e-31   2.371183e-66   1.202264e-30   3.723948e-66   3.981072e-30   -1.000
   009  6.468715e-69   1.096478e-30   8.635185e-68   3.630781e-31   5.307856e-67   3.019952e-31   1.300025e-66   5.754399e-31   2.166002e-66   1.202264e-30   3.416244e-66   3.981072e-30   -1.000
