#   id  f_u            e_u            f_g            e_g            f_r            e_r            f_i            e_i            f_z            e_z            f_y            e_y            
   001  6.244315e-30   1.096478e-30   7.382082e-30   3.630781e-31   1.024769e-29   3.019952e-31   3.112962e-30   5.754399e-31   1.829598e-29   1.202264e-30   4.004288e-30   3.981072e-30   
   002  1.743337e-29   1.096478e-30   1.968166e-29   3.630781e-31   2.403631e-29   3.019952e-31   1.024014e-29   5.754399e-31   4.140103e-29   1.202264e-30   1.113290e-29   3.981072e-30   
   003  2.452757e-29   1.096478e-30   2.804731e-29   3.630781e-31   3.483393e-29   3.019952e-31   2.080591e-29   5.754399e-31   5.307988e-29   1.202264e-30   2.225211e-29   3.981072e-30   
   004  2.946131e-29   1.096478e-30   3.283977e-29   3.630781e-31   4.026854e-29   3.019952e-31   2.608573e-29   5.754399e-31   5.854266e-29   1.202264e-30   2.907888e-29   3.981072e-30   
   005  3.221293e-29   1.096478e-30   3.579828e-29   3.630781e-31   4.380853e-29   3.019952e-31   2.949793e-29   5.754399e-31   6.198431e-29   1.202264e-30   3.308309e-29   3.981072e-30   
   006  3.425047e-29   1.096478e-30   3.835019e-29   3.630781e-31   4.708847e-29   3.019952e-31   3.254362e-29   5.754399e-31   6.489941e-29   1.202264e-30   3.621014e-29   3.981072e-30   
   007  3.704224e-29   1.096478e-30   4.210362e-29   3.630781e-31   5.222672e-29   3.019952e-31   3.752082e-29   5.754399e-31   6.973956e-29   1.202264e-30   4.138407e-29   3.981072e-30   
   008  3.898552e-29   1.096478e-30   4.487442e-29   3.630781e-31   5.613992e-29   3.019952e-31   4.139872e-29   5.754399e-31   7.352858e-29   1.202264e-30   4.540741e-29   3.981072e-30   
   009  4.043955e-29   1.096478e-30   4.707210e-29   3.630781e-31   5.938091e-29   3.019952e-31   4.466662e-29   5.754399e-31   7.674279e-29   1.202264e-30   4.882791e-29   3.981072e-30   
   010  4.453717e-29   1.096478e-30   5.438183e-29   3.630781e-31   7.111249e-29   3.019952e-31   5.640623e-29   5.754399e-31   8.815497e-29   1.202264e-30   6.084685e-29   3.981072e-30   
   011  4.767221e-29   1.096478e-30   6.218381e-29   3.630781e-31   8.475768e-29   3.019952e-31   7.122821e-29   5.754399e-31   1.047367e-28   1.202264e-30   7.571719e-29   3.981072e-30   
   012  4.987672e-29   1.096478e-30   6.975583e-29   3.630781e-31   1.011197e-28   3.019952e-31   8.946645e-29   5.754399e-31   1.233304e-28   1.202264e-30   9.552790e-29   3.981072e-30   
   013  5.081900e-29   1.096478e-30   7.373053e-29   3.630781e-31   1.109870e-28   3.019952e-31   1.020371e-28   5.754399e-31   1.371142e-28   1.202264e-30   1.108457e-28   3.981072e-30   
   014  5.137520e-29   1.096478e-30   7.629363e-29   3.630781e-31   1.180254e-28   3.019952e-31   1.119550e-28   5.754399e-31   1.486713e-28   1.202264e-30   1.244494e-28   3.981072e-30   
   015  5.174770e-29   1.096478e-30   7.809696e-29   3.630781e-31   1.230846e-28   3.019952e-31   1.192417e-28   5.754399e-31   1.572574e-28   1.202264e-30   1.347231e-28   3.981072e-30   
   016  5.202387e-29   1.096478e-30   7.950301e-29   3.630781e-31   1.271730e-28   3.019952e-31   1.252554e-28   5.754399e-31   1.644062e-28   1.202264e-30   1.433593e-28   3.981072e-30   
   017  5.224006e-29   1.096478e-30   8.065235e-29   3.630781e-31   1.306447e-28   3.019952e-31   1.304706e-28   5.754399e-31   1.706631e-28   1.202264e-30   1.509718e-28   3.981072e-30   
   018  5.241618e-29   1.096478e-30   8.161758e-29   3.630781e-31   1.336442e-28   3.019952e-31   1.350450e-28   5.754399e-31   1.761865e-28   1.202264e-30   1.577145e-28   3.981072e-30   
   019  5.256440e-29   1.096478e-30   8.245507e-29   3.630781e-31   1.363196e-28   3.019952e-31   1.391812e-28   5.754399e-31   1.812104e-28   1.202264e-30   1.638694e-28   3.981072e-30   
   020  5.269236e-29   1.096478e-30   8.319667e-29   3.630781e-31   1.387388e-28   3.019952e-31   1.429589e-28   5.754399e-31   1.858185e-28   1.202264e-30   1.695308e-28   3.981072e-30   
   021  5.280494e-29   1.096478e-30   8.386326e-29   3.630781e-31   1.409499e-28   3.019952e-31   1.464387e-28   5.754399e-31   1.900780e-28   1.202264e-30   1.747774e-28   3.981072e-30   
   022  5.290558e-29   1.096478e-30   8.447008e-29   3.630781e-31   1.429921e-28   3.019952e-31   1.496744e-28   5.754399e-31   1.940503e-28   1.202264e-30   1.796817e-28   3.981072e-30   
   023  5.299696e-29   1.096478e-30   8.502859e-29   3.630781e-31   1.448931e-28   3.019952e-31   1.527030e-28   5.754399e-31   1.977772e-28   1.202264e-30   1.842929e-28   3.981072e-30   
   024  5.308022e-29   1.096478e-30   8.554562e-29   3.630781e-31   1.466733e-28   3.019952e-31   1.555537e-28   5.754399e-31   2.012929e-28   1.202264e-30   1.886488e-28   3.981072e-30   
   025  5.315591e-29   1.096478e-30   8.602450e-29   3.630781e-31   1.483442e-28   3.019952e-31   1.582451e-28   5.754399e-31   2.046204e-28   1.202264e-30   1.927785e-28   3.981072e-30   
   026  5.322451e-29   1.096478e-30   8.646768e-29   3.630781e-31   1.499149e-28   3.019952e-31   1.607924e-28   5.754399e-31   2.077792e-28   1.202264e-30   1.967080e-28   3.981072e-30   
   027  5.328722e-29   1.096478e-30   8.688096e-29   3.630781e-31   1.514020e-28   3.019952e-31   1.632195e-28   5.754399e-31   2.107975e-28   1.202264e-30   2.004700e-28   3.981072e-30   
   028  5.334476e-29   1.096478e-30   8.726765e-29   3.630781e-31   1.528147e-28   3.019952e-31   1.655391e-28   5.754399e-31   2.136895e-28   1.202264e-30   2.040812e-28   3.981072e-30   
   029  5.339766e-29   1.096478e-30   8.762940e-29   3.630781e-31   1.541505e-28   3.019952e-31   1.677426e-28   5.754399e-31   2.164422e-28   1.202264e-30   2.075223e-28   3.981072e-30   
   030  5.344627e-29   1.096478e-30   8.796761e-29   3.630781e-31   1.554115e-28   3.019952e-31   1.698315e-28   5.754399e-31   2.190564e-28   1.202264e-30   2.107937e-28   3.981072e-30   
   031  5.349116e-29   1.096478e-30   8.828606e-29   3.630781e-31   1.566128e-28   3.019952e-31   1.718312e-28   5.754399e-31   2.215643e-28   1.202264e-30   2.139371e-28   3.981072e-30   
   032  5.353272e-29   1.096478e-30   8.858718e-29   3.630781e-31   1.577639e-28   3.019952e-31   1.737572e-28   5.754399e-31   2.239856e-28   1.202264e-30   2.169781e-28   3.981072e-30   
